[DEBUG][2017-07-03 10:22:17,489][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/p/alternating-sample
[DEBUG][2017-07-03 10:22:17,489][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/p/delete-all-cookies
[DEBUG][2017-07-03 10:22:17,490][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/i
[DEBUG][2017-07-03 10:22:17,568][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:17,569][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/l
[DEBUG][2017-07-03 10:22:17,580][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/l/debian-handbook
[DEBUG][2017-07-03 10:22:17,581][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/l/infographics
[DEBUG][2017-07-03 10:22:17,581][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/filhocf/infographics
[DEBUG][2017-07-03 10:22:17,581][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/l/test
[DEBUG][2017-07-03 10:22:17,581][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/l/linuxmint
[DEBUG][2017-07-03 10:22:17,581][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/l/debian-webwml
[DEBUG][2017-07-03 10:22:17,581][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/l/anope-tl-jp
[DEBUG][2017-07-03 10:22:17,582][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/jeeb/anope-tl-jp
[DEBUG][2017-07-03 10:22:17,582][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/weechat/weechat
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
